P_c,T_c
3.1237646230787124e-6,294.8552067618663
3.1306021713932237e-6,294.8940908189093
3.13745468628575e-6,294.93298513297003
3.144322200516353e-6,294.97188970791166
3.1512047469168023e-6,295.0108045484284
3.158102358390712e-6,295.04972965756554
3.1650150679137375e-6,295.0886650407323
3.171942908533716e-6,295.12761070038124
3.1788859133708007e-6,295.1665666424062
3.1858441156176616e-6,295.205532868902
3.192817548539617e-6,295.2445093860083
3.199806245474805e-6,295.2834961957059
3.206810239834317e-6,295.32249330413083
3.213829565102399e-6,295.36150071340404
3.220864254836587e-6,295.40051842939954
3.227914342667853e-6,295.43954645464174
3.234979862300802e-6,295.47858479447416
3.2420608475138146e-6,295.5176334520983
3.2491573321591884e-6,295.5566924320541
3.2562693501633393e-6,295.5957617384866
3.263396935526938e-6,295.63484137496755
3.2705401223250844e-6,295.6739313465539
3.2776989447074453e-6,295.7130316560167
3.2848734368984575e-6,295.7521423090811
3.2920636331974704e-6,295.79126330800204
3.29926956797889e-6,295.83039465888316
3.3064912756923853e-6,295.8695363637581
3.3137287908630234e-6,295.9086884288092
3.3209821480914504e-6,295.94785085615365
3.328251382054028e-6,295.98702365174256
3.3355365275030416e-6,296.0262068180915
3.3428376192668444e-6,296.0654003605999
3.350154692250005e-6,296.1046042825089
3.357487781433513e-6,296.1438185883445
3.364836921874929e-6,296.1830432823765
3.3722021487085285e-6,296.22227836808656
3.379583497145514e-6,296.26152385070003
3.3869810024741515e-6,296.3007797328841
3.394394700059959e-6,296.3400460205185
3.4018246253458415e-6,296.37932271579655
3.4092708138523074e-6,296.41860982490573
3.4167333011776146e-6,296.45790734991755
3.42421212299792e-6,296.49721529696967
3.4317073150674925e-6,296.53653366837494
3.439218913218863e-6,296.57586246985255
3.4467469533629747e-6,296.61520170433124
3.4542914714893964e-6,296.65455137673075
3.461852503666466e-6,296.6939114909825
3.469430086041479e-6,296.733282050921
3.4770242548408314e-6,296.7726630615601
3.484635046370235e-6,296.81205452576285
3.492262497014872e-6,296.8514564493289
3.499906643239544e-6,296.8908688345418
3.5075675215888932e-6,296.9302916875889
3.5152451686875525e-6,296.9697250105778
3.5229396212403e-6,297.00916880967407
3.5306509160322785e-6,297.0486230872253
3.5383790899291415e-6,297.0880878489527
3.546124179877244e-6,297.1275630978732
3.553886222903792e-6,297.16704883883153
3.5616652561170586e-6,297.2065450759446
3.569461316706545e-6,297.24605181289274
3.577274441943133e-6,297.28556905489773
3.5851046691793072e-6,297.32509680468837
3.5929520358493135e-6,297.36463506822474
3.6008165794693143e-6,297.404183847732
3.6086983376376126e-6,297.44374314945287
3.6165973480348016e-6,297.4833129755706
3.624513648423961e-6,297.5228933321435
3.632447276650807e-6,297.5624842217868
3.6403982706439176e-6,297.60208564989284
3.6483666684148927e-6,297.6416976199973
3.6563525080585113e-6,297.6813201363927
3.6643558277529606e-6,297.7209532038535
3.672376665759996e-6,297.7605968254894
3.6804150604250987e-6,297.80025100704165
3.688471050177709e-6,297.8399157509008
3.696544673531374e-6,297.87959106328253
3.704635969083953e-6,297.9192769463686
3.712744975517766e-6,297.9589734063319
3.720871731599829e-6,297.9986804456693
3.729016276182012e-6,298.0383980699798
3.737178648201207e-6,298.07812628261433
3.7453588866795554e-6,298.11786508809246
3.753557030724613e-6,298.1576144910494
3.761773119529516e-6,298.19737449473945
3.7700071923732113e-6,298.2371451048555
3.7782592886206156e-6,298.2769263238508
3.7865294477228184e-6,298.31671815794823
3.79481770921724e-6,298.35652060936343
3.8031241127278663e-6,298.3963336842783
