,T_int,logg,lam,f_nu
403,90.0,2.0,1.37355,9.493034920634922e-08
404,90.0,2.0,1.37516,9.838825396825397e-08
405,90.0,2.0,1.37678,3.9013377777777784e-08
406,90.0,2.0,1.37839,4.773768253968254e-08
407,90.0,2.0,1.38001,7.915692698412697e-08
408,90.0,2.0,1.38163,7.330251746031746e-08
409,90.0,2.0,1.38325,1.665999365079365e-07
410,90.0,2.0,1.38487,1.7111749206349205e-07
411,90.0,2.0,1.38649,1.9242190476190476e-07
412,90.0,2.0,1.38812,1.0205422222222222e-07
413,90.0,2.0,1.38974,7.975441904761905e-08
414,90.0,2.0,1.39137,6.843512063492064e-08
415,90.0,2.0,1.393,5.000041904761905e-08
416,90.0,2.0,1.39464,3.815378095238095e-08
417,90.0,2.0,1.39627,2.972785396825397e-08
418,90.0,2.0,1.39791,4.479211111111111e-08
419,90.0,2.0,1.39955,6.305575873015872e-08
420,90.0,2.0,1.40119,6.584408571428571e-08
421,90.0,2.0,1.40283,4.80174634920635e-08
422,90.0,2.0,1.40448,4.633500317460317e-08
423,90.0,2.0,1.40613,4.6693958730158733e-08
424,90.0,2.0,1.40777,4.879291428571428e-08
425,90.0,2.0,1.40942,3.2478895238095236e-08
426,90.0,2.0,1.41108,1.0107098412698412e-07
427,90.0,2.0,1.41273,2.2602323809523806e-07
428,90.0,2.0,1.41439,2.1819139682539682e-07
429,90.0,2.0,1.41605,1.6200044444444445e-07
430,90.0,2.0,1.41771,7.923435238095238e-08
431,90.0,2.0,1.41937,1.8482114285714284e-07
432,90.0,2.0,1.42103,6.952156190476191e-07
433,90.0,2.0,1.4227,1.9186215873015876e-06
434,90.0,2.0,1.42437,1.8691742857142858e-06
435,90.0,2.0,1.42604,1.3388425396825398e-06
436,90.0,2.0,1.42771,1.00978e-07
437,90.0,2.0,1.42938,1.3340552380952377e-07
438,90.0,2.0,1.43106,5.840010793650794e-07
439,90.0,2.0,1.43274,1.2042733333333333e-06
440,90.0,2.0,1.43442,1.2285596825396826e-06
441,90.0,2.0,1.4361,1.0496342857142856e-06
442,90.0,2.0,1.43778,4.3022650793650794e-07
443,90.0,2.0,1.43947,3.2997488888888885e-07
444,90.0,2.0,1.44116,2.467329206349206e-07
445,90.0,2.0,1.44285,2.751639682539683e-07
446,90.0,2.0,1.44454,2.592784126984127e-07
447,90.0,2.0,1.44623,7.555982222222223e-08
