,T_int,logg,lam,f_nu
403,90.0,2.4,1.21487,2.24803e-07
404,90.0,2.4,1.21632,2.09436e-07
405,90.0,2.4,1.21778,1.0935e-07
406,90.0,2.4,1.21924,9.86296e-08
407,90.0,2.4,1.22071,1.15066e-07
408,90.0,2.4,1.22217,1.77471e-07
409,90.0,2.4,1.22363,2.6296e-07
410,90.0,2.4,1.2251,2.04908e-07
411,90.0,2.4,1.22657,4.44885e-07
412,90.0,2.4,1.22804,4.39459e-07
413,90.0,2.4,1.22952,4.93818e-07
414,90.0,2.4,1.23099,2.97889e-07
415,90.0,2.4,1.23247,3.93142e-07
416,90.0,2.4,1.23394,6.01397e-07
417,90.0,2.4,1.23542,8.36541e-07
418,90.0,2.4,1.23691,7.75912e-07
419,90.0,2.4,1.23839,1.0935e-06
420,90.0,2.4,1.23987,1.22997e-06
421,90.0,2.4,1.24136,1.60945e-06
422,90.0,2.4,1.24285,1.91467e-06
423,90.0,2.4,1.24434,2.33775e-06
424,90.0,2.4,1.24583,2.2395e-06
425,90.0,2.4,1.24733,1.74182e-06
426,90.0,2.4,1.24882,1.8015e-06
427,90.0,2.4,1.25032,1.61973e-06
428,90.0,2.4,1.25182,1.57201e-06
429,90.0,2.4,1.25332,1.00184e-06
430,90.0,2.4,1.25482,9.96848e-07
431,90.0,2.4,1.25633,8.9129e-07
432,90.0,2.4,1.25784,1.07787e-06
433,90.0,2.4,1.25934,1.23908e-06
434,90.0,2.4,1.26085,1.09531e-06
435,90.0,2.4,1.26237,6.71414e-07
436,90.0,2.4,1.26388,5.49039e-07
437,90.0,2.4,1.2654,9.90837e-07
438,90.0,2.4,1.26691,1.25069e-06
439,90.0,2.4,1.26843,1.09887e-06
440,90.0,2.4,1.26995,5.87403e-07
441,90.0,2.4,1.27148,6.00955e-07
442,90.0,2.4,1.273,8.88346e-07
443,90.0,2.4,1.27453,1.04468e-06
444,90.0,2.4,1.27606,6.89498e-07
445,90.0,2.4,1.27759,3.62039e-07
446,90.0,2.4,1.27912,4.245e-07
447,90.0,2.4,1.28065,7.79759e-07
448,90.0,2.4,1.28219,8.62364e-07
449,90.0,2.4,1.28373,8.08269e-07
450,90.0,2.4,1.28527,5.24333e-07
451,90.0,2.4,1.28681,4.8515e-07
452,90.0,2.4,1.28835,4.44749e-07
453,90.0,2.4,1.2899,4.68871e-07
454,90.0,2.4,1.29144,4.72981e-07
455,90.0,2.4,1.29299,4.61599e-07
456,90.0,2.4,1.29454,5.01622e-07
457,90.0,2.4,1.29609,5.66478e-07
458,90.0,2.4,1.29765,6.25643e-07
459,90.0,2.4,1.2992,4.70938e-07
460,90.0,2.4,1.30076,3.24672e-07
461,90.0,2.4,1.30232,2.54698e-07
462,90.0,2.4,1.30388,3.0559e-07
463,90.0,2.4,1.30545,3.20836e-07
464,90.0,2.4,1.30701,2.91609e-07
465,90.0,2.4,1.30858,2.6698e-07
466,90.0,2.4,1.31015,2.778e-07
467,90.0,2.4,1.31172,2.55632e-07
468,90.0,2.4,1.3133,2.32237e-07
469,90.0,2.4,1.31487,1.83898e-07
470,90.0,2.4,1.31645,1.53613e-07
471,90.0,2.4,1.31803,1.91743e-07
472,90.0,2.4,1.31961,1.67041e-07
473,90.0,2.4,1.32119,1.90003e-07
474,90.0,2.4,1.32277,2.15255e-07
475,90.0,2.4,1.32436,3.35236e-07
476,90.0,2.4,1.32595,3.42999e-07
477,90.0,2.4,1.32754,2.31722e-07
478,90.0,2.4,1.32913,1.0758e-07
479,90.0,2.4,1.33072,3.69455e-08
480,90.0,2.4,1.33232,7.25314e-08
481,90.0,2.4,1.33392,1.92673e-07
482,90.0,2.4,1.33552,2.38085e-07
483,90.0,2.4,1.33712,2.31017e-07
484,90.0,2.4,1.33872,1.59643e-07
485,90.0,2.4,1.34033,1.05894e-07
486,90.0,2.4,1.34194,7.85873e-08
487,90.0,2.4,1.34354,5.53508e-08
488,90.0,2.4,1.34516,8.72839e-08
489,90.0,2.4,1.34677,1.40316e-07
490,90.0,2.4,1.34838,1.33532e-07
491,90.0,2.4,1.35,9.71522e-08
492,90.0,2.4,1.35162,5.26366e-08
493,90.0,2.4,1.35324,7.68241e-08
494,90.0,2.4,1.35486,1.13441e-07
495,90.0,2.4,1.35649,9.90785e-08
496,90.0,2.4,1.35812,6.10625e-08
497,90.0,2.4,1.35974,5.13733e-08
498,90.0,2.4,1.36138,9.35856e-08
499,90.0,2.4,1.36301,1.32764e-07
500,90.0,2.4,1.36464,1.27885e-07
501,90.0,2.4,1.36628,1.09713e-07
502,90.0,2.4,1.36792,9.71747e-08
503,90.0,2.4,1.36956,8.44939e-08
504,90.0,2.4,1.3712,8.50205e-08
505,90.0,2.4,1.37284,7.3106e-08
506,90.0,2.4,1.37449,7.08101e-08
507,90.0,2.4,1.37614,5.58139e-08
508,90.0,2.4,1.37779,3.87337e-08
509,90.0,2.4,1.37944,7.44333e-08
510,90.0,2.4,1.3811,6.6556e-08
511,90.0,2.4,1.38275,8.97055e-08
512,90.0,2.4,1.38441,8.65747e-08
513,90.0,2.4,1.38607,1.05209e-07
514,90.0,2.4,1.38773,9.28621e-08
515,90.0,2.4,1.3894,7.35446e-08
516,90.0,2.4,1.39106,6.43468e-08
517,90.0,2.4,1.39273,5.099e-08
518,90.0,2.4,1.3944,3.98264e-08
519,90.0,2.4,1.39607,3.02121e-08
520,90.0,2.4,1.39775,4.03866e-08
521,90.0,2.4,1.39943,5.66351e-08
522,90.0,2.4,1.4011,5.83287e-08
523,90.0,2.4,1.40278,4.43949e-08
524,90.0,2.4,1.40447,3.98458e-08
525,90.0,2.4,1.40615,3.95338e-08
526,90.0,2.4,1.40784,4.17055e-08
527,90.0,2.4,1.40952,3.26809e-08
528,90.0,2.4,1.41122,7.55164e-08
529,90.0,2.4,1.41291,1.17272e-07
530,90.0,2.4,1.4146,1.10452e-07
531,90.0,2.4,1.4163,7.84128e-08
532,90.0,2.4,1.418,7.1806e-08
533,90.0,2.4,1.4197,1.17786e-07
534,90.0,2.4,1.4214,1.79948e-07
535,90.0,2.4,1.4231,2.12305e-07
536,90.0,2.4,1.42481,1.80936e-07
537,90.0,2.4,1.42652,1.03835e-07
538,90.0,2.4,1.42823,7.10885e-08
539,90.0,2.4,1.42994,1.05172e-07
540,90.0,2.4,1.43166,1.80014e-07
