,T_int,logg,lam,f_nu
594,90.0,2.4,1.52738,8.26414e-08
595,90.0,2.4,1.52921,1.02541e-07
596,90.0,2.4,1.53105,8.25877e-07
597,90.0,2.4,1.53288,1.14771e-06
598,90.0,2.4,1.53472,1.14679e-06
599,90.0,2.4,1.53656,4.17731e-06
600,90.0,2.4,1.5384,3.84356e-06
601,90.0,2.4,1.54025,3.80676e-06
602,90.0,2.4,1.5421,5.64702e-07
603,90.0,2.4,1.54395,1.85775e-06
604,90.0,2.4,1.5458,2.27957e-06
605,90.0,2.4,1.54765,2.42136e-06
606,90.0,2.4,1.54951,3.7327e-06
607,90.0,2.4,1.55137,3.88017e-06
608,90.0,2.4,1.55323,5.19006e-06
609,90.0,2.4,1.55509,7.8808e-06
610,90.0,2.4,1.55695,2.33378e-05
611,90.0,2.4,1.55882,2.64374e-05
612,90.0,2.4,1.56069,2.11521e-05
613,90.0,2.4,1.56256,5.14641e-06
614,90.0,2.4,1.56444,6.6638e-07
615,90.0,2.4,1.56631,1.27389e-06
616,90.0,2.4,1.56819,1.82341e-06
617,90.0,2.4,1.57007,6.22133e-06
618,90.0,2.4,1.57195,7.92989e-06
619,90.0,2.4,1.57384,7.38884e-06
620,90.0,2.4,1.57573,2.39611e-06
